livsmedel,calorie,protein,carb,fat
Granatäpple,56,0.7,7.0,0.6
Grapefrukt,43,0.9,8.3,0.5
Guava,33,0.6,4.8,0.1
Hallon,34,1.2,4.1,0.6
Hallon m. socker frysvara,82,0.7,17.6,0.2
Hjortron,48,1.5,5.1,1.1
Jordgubbar,41,0.5,8.3,0.2
Jordgubbar hela m. socker frysvara,86,0.5,19.7,0.1
Gratäng broccoligratäng veg. ,100,6.2,3.4,6.5
Sallad grekisk m. salladsost oliver,87,2.7,3.2,6.8
Grönsakssufflé,118,7.2,6.6,6.7
Gratäng grönsaksgratäng veg.,88,4.1,5.9,5.0
Grekisk sallad m. fetaost,77,2.9,2.0,6.1
Grönsaksbuljong pasta el. pulver storhushåll,238,14.9,24.6,8.8
Agar torkad,165,0.2,2.6,0.3
Svampprotein färs bitar filé kylvara el. frysvara,99,15.7,2.2,1.8
Gratäng broccoligratäng m. skinka,95,9.2,3.6,4.5
Wokgrönsaker m. nudlar veg.,81,1.7,8.1,4.1
Pastej veg.,249,7.6,9.1,20.0
Grönsaksbuljong ätf.,5,0.4,0.4,0.2
Honungsmelon,33,0.5,7.0,0.1
Nätmelon,37,0.9,7.1,0.3
Rabarber tillagad u. socker,12,0.4,0.4,0.2
Vattenmelon,34,0.6,7.5,0.0
Ananas,52,0.5,11.5,0.1
Apelsin,50,0.8,10.4,0.2
Aprikos,51,1.4,9.3,0.4
Banan,95,1.1,21.3,0.1
Björnbär,43,1.1,7.5,0.2
Blåbär,53,0.7,9.1,0.8
Blåbär frysvara,43,0.5,7.6,0.5
Blåbär m. socker frysvara,83,0.4,18.3,0.1
Cherimoya,84,1.2,17.7,0.3
Citron,50,0.9,7.6,0.7
Småcitrus clementin mandarin tangerin satsumas,54,0.8,11.4,0.2
Fikon,58,0.8,11.7,0.3
Fläderbär,67,0.7,11.4,0.5
Jordgubbar skivade m. socker frysvara,102,0.5,23.8,0.1
Kaktusfikon,39,0.7,6.7,0.5
Kiwi grön,55,0.8,9.6,0.9
Krusbär,38,0.8,5.7,0.6
Physalis,57,1.8,8.9,0.6
Kumquat,69,0.5,12.9,0.7
Kvitten,63,0.4,13.1,0.1
Surkörsbär,61,0.9,13.3,0.1
Sötkörsbär,69,1.1,14.7,0.1
Lime,47,0.7,10.3,0.2
Lingon,56,0.5,10.7,0.7
Mango,56,0.7,11.3,0.6
Banan kokbanan,136,1.3,30.4,0.4
Nektarin,53,0.9,10.9,0.3
Papaya,48,0.8,8.9,0.6
Paradisäpple,81,0.4,17.9,0.3
Passionsfrukt,87,2.2,12.9,0.7
Persika nektarin,43,0.7,8.6,0.1
Sharon,65,0.4,14.3,0.2
Plommon,47,0.5,10.2,0.0
Päron,54,0.3,11.5,0.1
Tranbär,46,0.4,8.9,0.2
