date_time,Date,Time,Time / Activity,type,type_text,Activity time (h:m:s),Activity (minutes),startTime,sportTime(s),maxPace(/meter),minPace(/meter),distance(m),avgPace(/meter),calories(kcal)
2024-08-23 10:35:49,2024-08-23,10:35,10:35 Walking,6,Walking,1:12:01,72.02,2024-08-23 10:35:49+0000,4321,1.4635735,0.45426568,5465.0,0.79,369.0
2024-08-23 06:31:50,2024-08-23,06:31,06:31 Walking,6,Walking,1:04:04,64.07,2024-08-23 06:31:50+0000,3844,4.0286875,0.52603626,4799.0,0.8,456.0
2024-08-23 02:30:22,2024-08-23,02:30,02:30 Walking,6,Walking,1:08:55,68.92,2024-08-23 02:30:22+0000,4135,0.0,0.51737344,4954.0,0.834,319.0
2024-08-22 12:13:06,2024-08-22,12:13,12:13 Cycling,10,Cycling,0:45:38,45.63,2024-08-22 12:13:06+0000,2738,0.0,0.0,0.0,0.0,268.0
2024-08-22 09:10:27,2024-08-22,09:10,09:10 Walking,6,Walking,1:42:41,102.68,2024-08-22 09:10:27+0000,6161,0.0,0.35196745,5096.0,1.208,694.0
2024-08-22 05:54:08,2024-08-22,05:54,05:54 Walking,6,Walking,1:03:41,63.68,2024-08-22 05:54:08+0000,3821,0.0,0.41941154,4447.0,0.859,390.0
2024-08-22 02:58:57,2024-08-22,02:58,02:58 Walking,6,Walking,0:57:22,57.37,2024-08-22 02:58:57+0000,3442,0.0,0.58999234,4187.0,0.821,271.0
2024-08-21 11:36:39,2024-08-21,11:36,11:36 Running,1,Running,0:31:05,31.08,2024-08-21 11:36:39+0000,1865,1.4630663,0.32449183,5029.0,0.37,280.0
2024-08-21 09:58:19,2024-08-21,09:58,09:58 Walking,6,Walking,1:25:02,85.03,2024-08-21 09:58:19+0000,5102,2.525191,0.5229245,5481.0,0.93,441.0
2024-08-21 06:10:05,2024-08-21,06:10,06:10 Walking,6,Walking,1:09:34,69.57,2024-08-21 06:10:05+0000,4174,4.971628,0.4731934,5223.0,0.799,384.0
2024-08-21 03:01:48,2024-08-21,03:01,03:01 Walking,6,Walking,0:52:30,52.5,2024-08-21 03:01:48+0000,3150,0.0,0.50374216,3987.0,0.789,288.0
2024-08-20 13:39:02,2024-08-20,13:39,13:39 Running,1,Running,0:10:42,10.7,2024-08-20 13:39:02+0000,642,0.8167103,0.2857824,2020.0,0.317,99.0
2024-08-20 12:50:49,2024-08-20,12:50,12:50 Cycling,10,Cycling,0:47:58,47.97,2024-08-20 12:50:49+0000,2878,0.0,0.0,0.0,0.0,356.0
2024-08-20 12:35:01,2024-08-20,12:35,12:35 Running,1,Running,0:11:26,11.43,2024-08-20 12:35:01+0000,686,1.4128503,0.31307107,2053.0,0.334,96.0
2024-08-20 11:36:06,2024-08-20,11:36,11:36 Walking,6,Walking,0:39:31,39.52,2024-08-20 11:36:06+0000,2371,2.9924364,0.36888298,2608.0,0.908,231.0
2024-08-20 07:43:27,2024-08-20,07:43,07:43 Walking,6,Walking,1:07:55,67.92,2024-08-20 07:43:27+0000,4075,0.0,0.4950882,4699.0,0.867,415.0
2024-08-20 02:47:54,2024-08-20,02:47,02:47 Walking,6,Walking,1:27:48,87.8,2024-08-20 02:47:54+0000,5268,1.9420587,0.49059996,6817.0,0.772,483.0
2024-08-19 14:51:42,2024-08-19,14:51,14:51 Core,50,Core,0:14:06,14.1,2024-08-19 14:51:42+0000,846,0.0,0.0,0.0,0.0,55.0
2024-08-19 12:54:22,2024-08-19,12:54,12:54 Swimming,14,Swimming,0:59:45,59.75,2024-08-19 12:54:22+0000,3585,2.5822906,1.0823666,1650.0,2.172,441.0
2024-08-19 10:49:04,2024-08-19,10:49,10:49 Walking,6,Walking,1:43:52,103.87,2024-08-19 10:49:04+0000,6232,0.0,0.6036805,4654.0,1.338,497.0
2024-08-19 07:16:58,2024-08-19,07:16,07:16 Walking,6,Walking,1:00:42,60.7,2024-08-19 07:16:58+0000,3642,0.0,0.58812106,4321.0,0.842,414.0
2024-08-19 03:06:15,2024-08-19,03:06,03:06 Walking,6,Walking,1:25:45,85.75,2024-08-19 03:06:15+0000,5145,0.0,0.34040067,6803.0,0.756,482.0
2024-08-18 07:46:18,2024-08-18,07:46,07:46 Walking,6,Walking,1:21:43,81.72,2024-08-18 07:46:18+0000,4903,0.0,0.36180863,6392.0,0.767,487.0
2024-08-18 03:11:39,2024-08-18,03:11,03:11 Running,1,Running,0:56:51,56.85,2024-08-18 03:11:39+0000,3411,3.7478833,0.29163375,8636.0,0.394,510.0
2024-08-17 15:41:01,2024-08-17,15:41,15:41 Core,50,Core,0:13:57,13.95,2024-08-17 15:41:01+0000,837,0.0,0.0,0.0,0.0,27.0
2024-08-17 12:16:45,2024-08-17,12:16,12:16 Cycling,10,Cycling,1:00:05,60.08,2024-08-17 12:16:45+0000,3605,0.0,0.0,0.0,0.0,408.0
2024-08-17 11:13:35,2024-08-17,11:13,11:13 Walking,6,Walking,0:33:29,33.48,2024-08-17 11:13:35+0000,2009,0.0,0.45550182,2641.0,0.76,153.0
2024-08-17 06:54:00,2024-08-17,06:54,06:54 Walking,6,Walking,0:49:48,49.8,2024-08-17 06:54:00+0000,2988,0.0,0.5136487,4011.0,0.744,249.0
2024-08-17 03:28:30,2024-08-17,03:28,03:28 Walking,6,Walking,1:33:00,93.0,2024-08-17 03:28:30+0000,5580,2.960657,0.42988667,7159.0,0.779,527.0
2024-08-16 13:28:11,2024-08-16,13:28,13:28 Walking,6,Walking,0:28:25,28.42,2024-08-16 13:28:11+0000,1705,0.0,0.4228239,2129.0,0.8,140.0
2024-08-16 12:29:05,2024-08-16,12:29,12:29 Walking,6,Walking,0:06:48,6.8,2024-08-16 12:29:05+0000,408,2.0082612,0.20513475,444.0,0.918,25.0
2024-08-16 10:38:06,2024-08-16,10:38,10:38 Strength,52,Strength,1:10:59,70.98,2024-08-16 10:38:06+0000,4259,0.0,0.0,0.0,0.0,325.0
2024-08-16 07:45:30,2024-08-16,07:45,07:45 Walking,6,Walking,0:58:06,58.1,2024-08-16 07:45:30+0000,3486,0.0,0.53867894,4140.0,0.842,317.0
2024-08-16 02:45:09,2024-08-16,02:45,02:45 Walking,6,Walking,1:34:41,94.68,2024-08-16 02:45:09+0000,5681,6.741154,0.31164545,7118.0,0.798,617.0
2024-08-15 13:04:46,2024-08-15,13:04,13:04 Swimming,14,Swimming,0:58:46,58.77,2024-08-15 13:04:46+0000,3526,2.7131348,1.0766667,1100.0,3.205,321.0
2024-08-15 12:06:22,2024-08-15,12:06,12:06 Walking,6,Walking,0:33:49,33.82,2024-08-15 12:06:22+0000,2029,2.3674226,0.6376297,2103.0,0.964,199.0
2024-08-15 08:04:13,2024-08-15,08:04,08:04 Walking,6,Walking,1:01:48,61.8,2024-08-15 08:04:13+0000,3708,0.0,0.578532,4079.0,0.908,290.0
